of,fecha,line,sku,marca,envase,tipo_envase,material_precio,node_marca,node_volumen,node_pack,node_envase,node,h_tot,hl,oee,week,week_start
0000597823-1,2025-06-12,17,DL13LT,DAMM LEMON,KR00928,LATA 1/3 SR.,DAMM LEMON 1/3 LATA LC,DAMM LEMON,1/3,UNI,KR00928,DAMM LEMON|1/3|UNI|KR00928,16.990277777777777,2842.79,0.5633613994931741,2025-06-09/2025-06-15,2025-06-09
0000597891-1,2025-06-12,17,DL13LN,DAMM LEMON,KR00926,LATA 1/3 SR.,DAMM LEMON 1/3 LATA LC,DAMM LEMON,1/3,UNI,KR00926,DAMM LEMON|1/3|UNI|KR00926,1.4477777777777778,78.86,0.18323100537221798,2025-06-09/2025-06-15,2025-06-09
0000597892-1,2025-06-12,17,ED13LP24,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00441,ESTRELLA DAMM|1/3|P24|KR00441,8.350277777777778,788.98,0.31811982302651276,2025-06-09/2025-06-15,2025-06-09
0000597893-1,2025-06-12,17,ED13P24M,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00441,ESTRELLA DAMM|1/3|P24|KR00441,6.328888888888889,735.0,0.3910200140449438,2025-06-09/2025-06-15,2025-06-09
0000597890-1,2025-06-13,17,CM13LT,COMPLOT,KR05002,LATA 1/3 SR.,COMPLOT 1/3 LATA LC,COMPLOT,1/3,UNI,KR05002,COMPLOT|1/3|UNI|KR05002,3.7352777777777777,234.74,0.21157135420539896,2025-06-09/2025-06-15,2025-06-09
0000596820-1,2025-06-14,17,FDL13LN,FREE DAMM LIMON,KR01819,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01819,FREE DAMM LIMON|1/3|UNI|KR01819,9.584444444444445,1559.43,0.5478205425457918,2025-06-09/2025-06-15,2025-06-09
0000596824-1,2025-06-14,17,VO13LTMN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,4.943611111111111,687.58,0.4682811709838737,2025-06-09/2025-06-15,2025-06-09
0000596825-1,2025-06-14,17,VO13LTNN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,30.639722222222222,4675.2,0.513757558724604,2025-06-09/2025-06-15,2025-06-09
0000596010-1,2025-06-15,17,ED1312MZ,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 12,ESTRELLA DAMM,1/3,P12,KR00441,ESTRELLA DAMM|1/3|P12|KR00441,5.113333333333333,643.52,0.42372881355932207,2025-06-09/2025-06-15,2025-06-09
0000596817-1,2025-06-15,17,CB13LTN,CARLSBERG,KR04503,LATA 1/3 SR.,CARLSBERG 1/3 LATA BANDEJA 24U.,CARLSBERG,1/3,UNI,KR04503,CARLSBERG|1/3|UNI|KR04503,6.7811111111111115,607.92,0.3018187776503359,2025-06-09/2025-06-15,2025-06-09
0000596821-1,2025-06-15,17,KE13LTNN,KELER,KR80025,LATA 1/3 SR.,KELER 18 1/3 LATA,KELER,1/3,UNI,KR80025,KELER|1/3|UNI|KR80025,3.886388888888889,530.34,0.45943821027803583,2025-06-09/2025-06-15,2025-06-09
0000595962-1,2025-06-16,17,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,15.626666666666667,2482.56,0.534894055745165,2025-06-16/2025-06-22,2025-06-16
0000596011-1,2025-06-16,17,ED13LP12,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 12,ESTRELLA DAMM,1/3,P12,KR00441,ESTRELLA DAMM|1/3|P12|KR00441,11.270277777777778,1876.45,0.560569837083775,2025-06-16/2025-06-22,2025-06-16
0000598416-1,2025-06-16,17,ED13LTFW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,0.001388888888888889,0.0,,2025-06-16/2025-06-22,2025-06-16
0000598421-1,2025-06-17,17,FDT13LT,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA LC,FREE DAMM TOSTADA,1/3,UNI,KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,0.25333333333333335,0.0,,2025-06-16/2025-06-22,2025-06-16
0000598425-1,2025-06-17,17,SK13LN,SKOL,KR80116,LATA 1/3 SR.,SKOL 1/3 LATA,SKOL,1/3,UNI,KR80116,SKOL|1/3|UNI|KR80116,14.629166666666666,2694.52,0.6294447549482529,2025-06-16/2025-06-22,2025-06-16
0000598427-1,2025-06-17,17,TU13LTN,TURIA MARZEN,KR00607,LATA 1/3 SR.,TURIA 1/3 LATA,TURIA MARZEN,1/3,UNI,KR00607,TURIA MARZEN|1/3|UNI|KR00607,7.479166666666667,1438.97,0.6722423494951052,2025-06-16/2025-06-22,2025-06-16
0000598428-1,2025-06-17,17,VNT13LT,"VICTORIA 0,0 TOSTADA",KR83601,LATA 1/3 SR.,"VICTORIA 0,0 TOSTADA 1/3 LATA CAJA24U LC","VICTORIA 0,0 TOSTADA",1/3,UNI,KR83601,"VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601",2.0316666666666667,234.75,0.3889800382827454,2025-06-16/2025-06-22,2025-06-16
0000604511-1,2025-06-17,17,TNT13LT,TURIA MARZEN 0'0 TOSTADA,KR07200,LATA 1/3 SR.,"TURIA 0,0 TOSTADA 1/3 LATA LC",TURIA MARZEN 0'0 TOSTADA,1/3,UNI,KR07200,TURIA MARZEN 0'0 TOSTADA|1/3|UNI|KR07200,1.8916666666666666,200.66,0.3571218795888399,2025-06-16/2025-06-22,2025-06-16
PRT9900015957-M,2025-06-17,17,VNT13LT,"VICTORIA 0,0 TOSTADA",KR83601,LATA 1/3 SR.,"VICTORIA 0,0 TOSTADA 1/3 LATA CAJA24U LC","VICTORIA 0,0 TOSTADA",1/3,UNI,KR83601,"VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601",0.07833333333333334,0.0,,2025-06-16/2025-06-22,2025-06-16
PRT9900015958-M,2025-06-17,17,FDT13LT,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA LC,FREE DAMM TOSTADA,1/3,UNI,KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,3.0780555555555558,461.16,0.5043768612941071,2025-06-16/2025-06-22,2025-06-16
0000598419-1,2025-06-18,17,FD13LTNN,FREE DAMM,KR00038,LATA 1/3 SR.,FREE DAMM 1/3 LATA LC,FREE DAMM,1/3,UNI,KR00038,FREE DAMM|1/3|UNI|KR00038,6.6161111111111115,1059.13,0.5389621294819045,2025-06-16/2025-06-22,2025-06-16
0000598432-1,2025-06-18,17,XI13LTN,XIBECA,KR00719,LATA 1/3 SR.,XIBECA 1/3 LATA,XIBECA,1/3,UNI,KR00719,XIBECA|1/3|UNI|KR00719,15.210555555555555,2291.85,0.65330072199619,2025-06-16/2025-06-22,2025-06-16
0000598420-1,2025-06-19,17,FDL13LN,FREE DAMM LIMON,KR01819,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01819,FREE DAMM LIMON|1/3|UNI|KR01819,7.751111111111111,1265.31,0.5496344610091743,2025-06-16/2025-06-22,2025-06-16
0000598423-1,2025-06-19,17,OL13LTN,ORO,KR82703,LATA 1/3 SR.,ORO 1/3 LATA,ORO,1/3,UNI,KR82703,ORO|1/3|UNI|KR82703,1.038888888888889,116.94,0.37887700534759355,2025-06-16/2025-06-22,2025-06-16
0000598424-1,2025-06-19,17,RB13LTN,ROSA BLANCA,KR03502,LATA 1/3 SR.,ROSA BLANCA 1/3 LATA,ROSA BLANCA,1/3,UNI,KR03502,ROSA BLANCA|1/3|UNI|KR03502,4.768611111111111,406.24,0.28682938195374846,2025-06-16/2025-06-22,2025-06-16
0000598430-1,2025-06-19,17,VO13LTFN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,1.2691666666666668,248.23,0.6583497483037865,2025-06-16/2025-06-22,2025-06-16
0000598429-1,2025-06-20,17,VO13LP24,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK CARTON 24U.,VOLL DAMM,1/3,PACK,KR00528,VOLL DAMM|1/3|PACK|KR00528,4.2925,839.95,0.6588364718824824,2025-06-16/2025-06-22,2025-06-16
0000598418-1,2025-06-21,17,ED13P24M,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00441,ESTRELLA DAMM|1/3|P24|KR00441,1.0533333333333332,112.24,0.3586497890295358,2025-06-16/2025-06-22,2025-06-16
0000598431-1,2025-06-21,17,VO13LTNN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,26.006666666666668,0.0,0.667105621156881,2025-06-16/2025-06-22,2025-06-16
0000607872-1,2025-06-21,17,ED13LP24,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00443,ESTRELLA DAMM|1/3|P24|KR00443,2.1105555555555555,434.65,0.6933403527244011,2025-06-16/2025-06-22,2025-06-16
PRT9900015966-M,2025-06-21,17,VO13LP24,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK CARTON 24U.,VOLL DAMM,1/3,PACK,KR00528,VOLL DAMM|1/3|PACK|KR00528,1.6991666666666667,273.06,0.540951446787641,2025-06-16/2025-06-22,2025-06-16
PRT9900015969-M,2025-06-21,17,ED13P24M,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00443,ESTRELLA DAMM|1/3|P24|KR00443,2.87,538.59,0.6318234610917538,2025-06-16/2025-06-22,2025-06-16
0000598415-1,2025-06-22,17,ED13LTCW,ESTRELLA DAMM,KR00440,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00440,ESTRELLA DAMM|1/3|UNI|KR00440,8.624166666666667,1766.3,0.6895674300254453,2025-06-16/2025-06-22,2025-06-16
0000598417-1,2025-06-22,17,ED13LTW,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00441,ESTRELLA DAMM|1/3|UNI|KR00441,23.72833333333333,4987.63,0.7077333707944089,2025-06-16/2025-06-22,2025-06-16
0000594281-1,2025-06-23,17,CB13LTN,CARLSBERG,KR04503,LATA 1/3 SR.,CARLSBERG 1/3 LATA BANDEJA 24U.,CARLSBERG,1/3,UNI,KR04503,CARLSBERG|1/3|UNI|KR04503,4.485277777777778,861.69,0.6468074564934663,2025-06-23/2025-06-29,2025-06-23
0000602651-1,2025-06-23,17,BO13LT,BOCK DAMM,KR02511,LATA 1/3 SR.,BOCK-DAMM 1/3 LATA LC,BOCK DAMM,1/3,UNI,KR02511,BOCK DAMM|1/3|UNI|KR02511,2.336388888888889,346.06,0.49863274283676134,2025-06-23/2025-06-29,2025-06-23
0000602652-1,2025-06-23,17,CB13L12P,CARLSBERG,KR04503,LATA 1/3 SR.,CARLSBERG 1/3 LATA PACK 12U.,CARLSBERG,1/3,P12,KR04503,CARLSBERG|1/3|P12|KR04503,4.004166666666666,461.16,0.3877211238293444,2025-06-23/2025-06-29,2025-06-23
PRT9900015970-M,2025-06-23,17,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,8.2825,1529.04,0.6215581715128953,2025-06-23/2025-06-29,2025-06-23
0000602665-1,2025-06-24,17,VNT13LT,"VICTORIA 0,0 TOSTADA",KR83601,LATA 1/3 SR.,"VICTORIA 0,0 TOSTADA 1/3 LATA CAJA24U LC","VICTORIA 0,0 TOSTADA",1/3,UNI,KR83601,"VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601",3.4055555555555554,352.64,0.3486133768352365,2025-06-23/2025-06-29,2025-06-23
0000607874-1,2025-06-24,17,FD13LTNN,FREE DAMM,KR00038,LATA 1/3 SR.,FREE DAMM 1/3 LATA LC,FREE DAMM,1/3,UNI,KR00038,FREE DAMM|1/3|UNI|KR00038,7.0175,751.04,0.36032933539167955,2025-06-23/2025-06-29,2025-06-23
0000605529-1,2025-06-25,17,LST13LTN,LEVANTE SIN TOSTADA,KR04104,LATA 1/3 SR.,E. LEVANTE SIN TOSTADA 1/3 LATA,LEVANTE SIN TOSTADA,1/3,UNI,KR04104,LEVANTE SIN TOSTADA|1/3|UNI|KR04104,1.7608333333333333,291.87,0.5579744439185992,2025-06-23/2025-06-29,2025-06-23
0000607691-1,2025-06-25,17,FDT13LT,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA LC,FREE DAMM TOSTADA,1/3,UNI,KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,6.396388888888889,1236.31,0.650757806053763,2025-06-23/2025-06-29,2025-06-23
0000602659-1,2025-06-26,17,FDL13LN,FREE DAMM LIMON,KR01819,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01819,FREE DAMM LIMON|1/3|UNI|KR01819,6.502777777777778,601.03,0.3118044855332991,2025-06-23/2025-06-29,2025-06-23
0000607692-1,2025-06-26,17,SK13LN,SKOL,KR80116,LATA 1/3 SR.,SKOL 1/3 LATA,SKOL,1/3,UNI,KR80116,SKOL|1/3|UNI|KR80116,18.139166666666668,2737.12,0.5084909419734542,2025-06-23/2025-06-29,2025-06-23
0000607871-1,2025-06-26,17,DL13LT,DAMM LEMON,KR00928,LATA 1/3 SR.,DAMM LEMON 1/3 LATA LC,DAMM LEMON,1/3,UNI,KR00928,DAMM LEMON|1/3|UNI|KR00928,14.991944444444444,1690.36,0.3796720096358751,2025-06-23/2025-06-29,2025-06-23
PRT9900015986-M,2025-06-26,17,SK13LN,SKOL,KR80116,LATA 1/3 SR.,SKOL 1/3 LATA,SKOL,1/3,UNI,KR80116,SKOL|1/3|UNI|KR80116,0.012222222222222223,1.38,0.4210526315789474,2025-06-23/2025-06-29,2025-06-23
PRT9900015987-M,2025-06-26,17,FDL13LN,FREE DAMM LIMON,KR01819,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01819,FREE DAMM LIMON|1/3|UNI|KR01819,0.03388888888888889,0.0,,2025-06-23/2025-06-29,2025-06-23
0000607694-1,2025-06-27,17,VI13LTX,VICTORIA,KR81117,LATA 1/3 SR.,VICTORIA 1/3 LATA,VICTORIA,1/3,UNI,KR81117,VICTORIA|1/3|UNI|KR81117,18.999444444444446,2644.6,0.5106576180462626,2025-06-23/2025-06-29,2025-06-23
0000606072-1,2025-06-28,17,KE13LTNN,KELER,KR80025,LATA 1/3 SR.,KELER 18 1/3 LATA,KELER,1/3,UNI,KR80025,KELER|1/3|UNI|KR80025,3.6230555555555557,410.83,0.38173733036878016,2025-06-23/2025-06-29,2025-06-23
0000607875-1,2025-06-28,17,TU13LTN,TURIA MARZEN,KR00607,LATA 1/3 SR.,TURIA 1/3 LATA,TURIA MARZEN,1/3,UNI,KR00607,TURIA MARZEN|1/3|UNI|KR00607,5.665,941.03,0.5592821418064136,2025-06-23/2025-06-29,2025-06-23
0000610675-1,2025-06-28,17,VO13PL12,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK 12U.,VOLL DAMM,1/3,P12,KR00528,VOLL DAMM|1/3|P12|KR00528,7.379166666666666,823.23,0.3756070016939582,2025-06-23/2025-06-29,2025-06-23
0000612440-1,2025-06-28,17,EC13LTNN,DAURA,KR02209,LATA 1/3 SR.,DAURA DAMM 1/3 LATA LC,DAURA,1/3,UNI,KR02209,DAURA|1/3|UNI|KR02209,6.195,646.0,0.35108958837772397,2025-06-23/2025-06-29,2025-06-23
0000607221-1,2025-06-30,17,FD13LTNN,FREE DAMM,KR00038,LATA 1/3 SR.,FREE DAMM 1/3 LATA LC,FREE DAMM,1/3,UNI,KR00038,FREE DAMM|1/3|UNI|KR00038,7.296944444444445,1406.65,0.6490540180440824,2025-06-30/2025-07-06,2025-06-30
0000607223-1,2025-06-30,17,FDT13LT,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA LC,FREE DAMM TOSTADA,1/3,UNI,KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,7.113611111111111,853.88,0.40415478933187554,2025-06-30/2025-07-06,2025-06-30
0000607230-1,2025-06-30,17,VNT13LT,"VICTORIA 0,0 TOSTADA",KR83601,LATA 1/3 SR.,"VICTORIA 0,0 TOSTADA 1/3 LATA CAJA24U LC","VICTORIA 0,0 TOSTADA",1/3,UNI,KR83601,"VICTORIA 0,0 TOSTADA|1/3|UNI|KR83601",2.727222222222222,264.74,0.32684864534528413,2025-06-30/2025-07-06,2025-06-30
0000610674-1,2025-06-30,17,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,32.11333333333334,4512.11,0.47308144765068155,2025-06-30/2025-07-06,2025-06-30
0000597631-1,2025-07-01,17,TU13LTN,TURIA MARZEN,KR00609,LATA 1/3 SR.,TURIA 1/3 LATA,TURIA MARZEN,1/3,UNI,KR00609,TURIA MARZEN|1/3|UNI|KR00609,9.8425,1867.84,0.6389523890158892,2025-06-30/2025-07-06,2025-06-30
0000607226-1,2025-07-01,17,RB13LTN,ROSA BLANCA,KR03502,LATA 1/3 SR.,ROSA BLANCA 1/3 LATA,ROSA BLANCA,1/3,UNI,KR03502,ROSA BLANCA|1/3|UNI|KR03502,3.6855555555555557,323.02,0.2950708471510401,2025-06-30/2025-07-06,2025-06-30
0000607228-1,2025-07-01,17,TU13LP12,TURIA MARZEN,KR00607,LATA 1/3 SR.,TURIA 33CL LATA PACK C. 12U.,TURIA MARZEN,1/3,PACK,KR00607,TURIA MARZEN|1/3|PACK|KR00607,3.283888888888889,622.03,0.637709355439012,2025-06-30/2025-07-06,2025-06-30
0000612823-1,2025-07-01,17,RB13L12N,ROSA BLANCA,KR03503,LATA 1/3 SR.,ROSA BLANCA 1/3 LATA PACK 12U.,ROSA BLANCA,1/3,P12,KR03503,ROSA BLANCA|1/3|P12|KR03503,3.7041666666666666,323.02,0.2935883014623172,2025-06-30/2025-07-06,2025-06-30
0000613508-1,2025-07-01,17,KE13LTNN,KELER,KR80025,LATA 1/3 SR.,KELER 18 1/3 LATA,KELER,1/3,UNI,KR80025,KELER|1/3|UNI|KR80025,3.9469444444444446,468.79,0.3998873953128299,2025-06-30/2025-07-06,2025-06-30
0000607219-1,2025-07-02,17,CM13LT,COMPLOT,KR05002,LATA 1/3 SR.,COMPLOT 1/3 LATA LC,COMPLOT,1/3,UNI,KR05002,COMPLOT|1/3|UNI|KR05002,6.526111111111111,262.99,0.13565165574189156,2025-06-30/2025-07-06,2025-06-30
0000613334-1,2025-07-02,17,FDL13LN,FREE DAMM LIMON,KR01819,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01819,FREE DAMM LIMON|1/3|UNI|KR01819,6.059166666666667,612.66,0.34043918764039793,2025-06-30/2025-07-06,2025-06-30
0000614127-1,2025-07-02,17,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,11.636944444444444,910.63,0.2634569021077507,2025-06-30/2025-07-06,2025-06-30
0000607229-1,2025-07-03,17,VI13LTX,VICTORIA,KR81117,LATA 1/3 SR.,VICTORIA 1/3 LATA,VICTORIA,1/3,UNI,KR81117,VICTORIA|1/3|UNI|KR81117,7.549166666666666,1176.76,0.5248187805865253,2025-06-30/2025-07-06,2025-06-30
0000614958-1,2025-07-03,17,SK13LN,SKOL,KR80116,LATA 1/3 SR.,SKOL 1/3 LATA,SKOL,1/3,UNI,KR80116,SKOL|1/3|UNI|KR80116,0.7683333333333333,123.66,0.5415762834417932,2025-06-30/2025-07-06,2025-06-30
0000614960-1,2025-07-03,17,VO13LTNN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,4.650277777777778,672.49,0.4868884773908369,2025-06-30/2025-07-06,2025-06-30
0000615158-1,2025-07-03,17,VO13PL12,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK 12U.,VOLL DAMM,1/3,P12,KR00528,VOLL DAMM|1/3|P12|KR00528,4.082222222222223,540.52,0.44576755579749594,2025-06-30/2025-07-06,2025-06-30
PRT9900016015-M,2025-07-04,17,SK13LN,SKOL,KR80117,LATA 1/3 SR.,SKOL 1/3 LATA,SKOL,1/3,UNI,KR80117,SKOL|1/3|UNI|KR80117,10.907777777777778,2480.96,0.7660680168131448,2025-06-30/2025-07-06,2025-06-30
PRT9900016017-M,2025-07-04,17,VO13PL12,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK 12U.,VOLL DAMM,1/3,P12,KR00528,VOLL DAMM|1/3|P12|KR00528,6.006111111111111,684.51,0.3837295347331422,2025-06-30/2025-07-06,2025-06-30
PRT9900016016-M,2025-07-05,17,VO13LTNN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,23.254722222222224,3660.73,0.5300237705603402,2025-06-30/2025-07-06,2025-06-30
0000614954-1,2025-07-06,17,ED13LTCW,ESTRELLA DAMM,KR00444,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00444,ESTRELLA DAMM|1/3|UNI|KR00444,22.998333333333335,3514.46,0.5145179602386647,2025-06-30/2025-07-06,2025-06-30
0000613505-1,2025-07-07,17,FD13LTNN,FREE DAMM,KR00038,LATA 1/3 SR.,FREE DAMM 1/3 LATA LC,FREE DAMM,1/3,UNI,KR00038,FREE DAMM|1/3|UNI|KR00038,16.045277777777777,2026.87,0.48020014854775034,2025-07-07/2025-07-13,2025-07-07
0000615096-1,2025-07-07,17,ED13LTW,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA,ESTRELLA DAMM,1/3,UNI,KR00443,ESTRELLA DAMM|1/3|UNI|KR00443,8.475277777777778,571.07,0.4866422947131609,2025-07-07/2025-07-13,2025-07-07
0000615157-1,2025-07-07,17,ED13P24M,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00443,ESTRELLA DAMM|1/3|P24|KR00443,6.326944444444444,250.02,0.4674483184202407,2025-07-07/2025-07-13,2025-07-07
PRT9900016019-M,2025-07-07,17,ED13LP24,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00443,ESTRELLA DAMM|1/3|P24|KR00443,0.006388888888888889,0.0,,2025-07-07/2025-07-13,2025-07-07
0000600750-1,2025-07-08,17,ED13LP24,ESTRELLA DAMM,KR00441,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00441,ESTRELLA DAMM|1/3|P24|KR00441,9.1975,844.96,0.3863362003923344,2025-07-07/2025-07-13,2025-07-07
0000613504-1,2025-07-08,17,ED13P24M,ESTRELLA DAMM,KR00443,LATA 1/3 SR.,ESTRELLA DAMM 1/3 LATA PACK 24,ESTRELLA DAMM,1/3,P24,KR00443,ESTRELLA DAMM|1/3|P24|KR00443,3.1238888888888887,387.43,0.4175706918015294,2025-07-07/2025-07-13,2025-07-07
0000613517-1,2025-07-08,17,XI13LTN,XIBECA,KR00718,LATA 1/3 SR.,XIBECA 1/3 LATA,XIBECA,1/3,UNI,KR00718,XIBECA|1/3|UNI|KR00718,4.6177777777777775,882.05,0.6431063522617901,2025-07-07/2025-07-13,2025-07-07
0000618038-1,2025-07-09,17,FDT13LT,FREE DAMM TOSTADA,KR04806,LATA 1/3 SR.,FREE DAMM TOSTADA 1/3 LATA LC,FREE DAMM TOSTADA,1/3,UNI,KR04806,FREE DAMM TOSTADA|1/3|UNI|KR04806,9.330277777777777,1284.11,0.46336598291107206,2025-07-07/2025-07-13,2025-07-07
0000618039-1,2025-07-09,17,KE13LTNN,KELER,KR80025,LATA 1/3 SR.,KELER 18 1/3 LATA,KELER,1/3,UNI,KR80025,KELER|1/3|UNI|KR80025,6.095555555555555,645.86,0.3567262121764491,2025-07-07/2025-07-13,2025-07-07
PRT9900016036-M,2025-07-09,17,XI13LTN,XIBECA,KR00719,LATA 1/3 SR.,XIBECA 1/3 LATA,XIBECA,1/3,UNI,KR00719,XIBECA|1/3|UNI|KR00719,12.553055555555556,0.0,0.5513488351472968,2025-07-07/2025-07-13,2025-07-07
0000613506-1,2025-07-10,17,FDL13LN,FREE DAMM LIMON,KR01819,LATA 1/3 SR.,FREE DAMM LIMON 1/3 LATA,FREE DAMM LIMON,1/3,UNI,KR01819,FREE DAMM LIMON|1/3|UNI|KR01819,15.470277777777778,2376.13,0.5171385991058123,2025-07-07/2025-07-13,2025-07-07
0000600749-1,2025-07-11,17,VO13LP24,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA PACK CARTON 24U.,VOLL DAMM,1/3,PACK,KR00528,VOLL DAMM|1/3|PACK|KR00528,5.065833333333333,795.43,0.5286505455941218,2025-07-07/2025-07-13,2025-07-07
0000613500-1,2025-07-11,17,DL13LT,DAMM LEMON,KR00928,LATA 1/3 SR.,DAMM LEMON 1/3 LATA LC,DAMM LEMON,1/3,UNI,KR00928,DAMM LEMON|1/3|UNI|KR00928,25.05,2487.61,0.33435351519183854,2025-07-07/2025-07-13,2025-07-07
0000613515-1,2025-07-13,17,VO13LTNN,VOLL DAMM,KR00528,LATA 1/3 SR.,VOLL DAMM 1/3 LATA LC,VOLL DAMM,1/3,UNI,KR00528,VOLL DAMM|1/3|UNI|KR00528,34.68361111111111,6057.72,0.5880619248604448,2025-07-07/2025-07-13,2025-07-07
